"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","KELOMPOK UMUR","TAHUN","","","","","","","","","","","","","",""
"","","2014","2015","2016","2017","2018","2019","2020","2021","2022","","","","","",""
"","0-4","41775.00","41947.00","42074.00","42196.00","42291.00","42407.00","42050.00","41311.00","40752.00","","","","","",""
"","5-9","38748.00","39663.00","40422.00","41031.00","41509.00","41887.00","40989.00","41000.00","40596.00","","","","","",""
"","10-14","36851.00","37430.00","38098.00","38893.00","39787.00","40742.00","35575.00","36106.00","36886.00","","","","","",""
"","15-19","45254.00","45849.00","46399.00","46898.00","47330.00","47887.00","34617.00","34105.00","33669.00","","","","","",""
"","20-24","56105.00","56886.00","57742.00","58669.00","59543.00","60383.00","37510.00","37026.00","36472.00","","","","","",""
"","25-29","37746.00","38241.00","38773.00","39379.00","39976.00","40599.00","35177.00","35067.00","34976.00","","","","","",""
"","30-34","36236.00","36654.00","37102.00","37456.00","37782.00","38183.00","34264.00","34199.00","34051.00","","","","","",""
"","35-39","32237.00","32961.00","33513.00","34108.00","34655.00","35183.00","32633.00","32915.00","33201.00","","","","","",""
"","40-44","30119.00","31023.00","31923.00","32734.00","33498.00","34226.00","30679.00","30998.00","31265.00","","","","","",""
"","45-49","24068.00","24988.00","25956.00","26955.00","27940.00","28897.00","28090.00","28714.00","29296.00","","","","","",""
"","50-54","18787.00","19525.00","20236.00","21003.00","20806.00","22658.00","23357.00","24013.00","24706.00","","","","","",""
"","55-59","15468.00","16191.00","16943.00","17641.00","18309.00","19011.00","19870.00","20422.00","20953.00","","","","","",""
"","60-64","10181.00","10726.00","11313.00","11980.00","12681.00","13375.00","13234.00","13693.00","14191.00","","","","","",""
"","65-69","7393.00","7747.00","8046.00","8373.00","8734.00","9165.00","10316.00","10688.00","11030.00","","","","","",""
"","70-74","4896.00","5035.00","5233.00","5466.00","5720.00","6004.00","5599.00","5900.00","6234.00","","","","","",""
"","75+","5200.00","5360.00","5541.00","5727.00","5915.00","6108.00","5691.00","5867.00","6053.00","","","","","",""
